time	serving_cell_id	ue_id	distance_to_cell(m)	throughput(Mb/s)	sc_power(dBm)	rsrp(dBm)	noise_power(dBm)	sinr(dB)	cqi	mcs
0.0	0	4587	87.06743403866493	-inf	10.0	-inf	-118.0			
0.0	0	4599	191.905465670367	-inf	10.0	-inf	-118.0			
0.0	0	2558	181.0023518681043	-inf	10.0	-inf	-118.0			
0.0	0	2567	243.60069645922633	-inf	10.0	-inf	-118.0			
0.0	0	6666	256.7172406169854	-inf	10.0	-inf	-118.0			
0.0	0	4619	68.3090815565451	-inf	10.0	-inf	-118.0			
0.0	0	6668	121.16868408813446	-inf	10.0	-inf	-118.0			
0.0	0	8724	245.1207542432554	-inf	10.0	-inf	-118.0			
0.0	0	8729	211.24380568032777	-inf	10.0	-inf	-118.0			
0.0	0	2587	181.99748546856497	-inf	10.0	-inf	-118.0			
0.0	0	552	136.4023361115364	-inf	10.0	-inf	-118.0			
0.0	0	6697	156.43188700534228	-inf	10.0	-inf	-118.0			
0.0	0	8744	245.020637446116	-inf	10.0	-inf	-118.0			
0.0	0	4651	172.60713869785798	-inf	10.0	-inf	-118.0			
0.0	0	558	237.86944829518953	-inf	10.0	-inf	-118.0			
0.0	0	8756	113.20272516637762	-inf	10.0	-inf	-118.0			
0.0	0	2614	228.57168496759397	-inf	10.0	-inf	-118.0			
0.0	0	6714	79.12850783297365	-inf	10.0	-inf	-118.0			
0.0	0	2626	139.45598676861073	-inf	10.0	-inf	-118.0			
0.0	0	8778	142.6673333735698	-inf	10.0	-inf	-118.0			
0.0	0	605	81.39271734149838	-inf	10.0	-inf	-118.0			
0.0	0	6749	87.77993241415966	-inf	10.0	-inf	-118.0			
0.0	0	6756	146.19238042906144	-inf	10.0	-inf	-118.0			
0.0	0	614	260.41954183177353	-inf	10.0	-inf	-118.0			
0.0	0	618	222.52781359813744	-inf	10.0	-inf	-118.0			
0.0	0	6764	236.53508489269046	-inf	10.0	-inf	-118.0			
0.0	0	2670	231.73793229647205	-inf	10.0	-inf	-118.0			
0.0	0	624	155.84454451067597	-inf	10.0	-inf	-118.0			
0.0	0	6774	198.18691318341627	-inf	10.0	-inf	-118.0			
0.0	0	2681	167.7594276061553	-inf	10.0	-inf	-118.0			
0.0	0	4730	77.57304014720788	-inf	10.0	-inf	-118.0			
0.0	0	6780	240.94543587757946	-inf	10.0	-inf	-118.0			
0.0	0	4736	116.48634370433534	-inf	10.0	-inf	-118.0			
0.0	0	4742	237.14184904928828	-inf	10.0	-inf	-118.0			
0.0	0	8840	162.93855845134794	-inf	10.0	-inf	-118.0			
0.0	0	8842	153.96001149140508	-inf	10.0	-inf	-118.0			
0.0	0	8849	163.58510970598294	-inf	10.0	-inf	-118.0			
0.0	0	6815	241.81942289786775	-inf	10.0	-inf	-118.0			
0.0	0	4772	198.70310071838708	-inf	10.0	-inf	-118.0			
0.0	0	8868	77.0850829561452	-inf	10.0	-inf	-118.0			
0.0	0	4783	136.99186139592794	-inf	10.0	-inf	-118.0			
0.0	0	6834	243.3379574351176	-inf	10.0	-inf	-118.0			
0.0	0	8889	237.63620978620708	-inf	10.0	-inf	-118.0			
0.0	0	4810	210.25687776912565	-inf	10.0	-inf	-118.0			
0.0	0	6859	195.15527003711398	-inf	10.0	-inf	-118.0			
0.0	0	4819	227.93096730372432	-inf	10.0	-inf	-118.0			
0.0	0	2772	154.4659130389546	-inf	10.0	-inf	-118.0			
0.0	0	4823	251.76428635117736	-inf	10.0	-inf	-118.0			
0.0	0	4833	174.04143152513393	-inf	10.0	-inf	-118.0			
0.0	0	2787	122.84182991858943	-inf	10.0	-inf	-118.0			
0.0	0	740	155.92305983300807	-inf	10.0	-inf	-118.0			
0.0	0	8935	272.0944173663983	-inf	10.0	-inf	-118.0			
0.0	0	8951	135.22433712658156	-inf	10.0	-inf	-118.0			
0.0	0	4874	92.6554159738931	-inf	10.0	-inf	-118.0			
0.0	0	2828	271.83025352485737	-inf	10.0	-inf	-118.0			
0.0	0	4876	221.6714060553828	-inf	10.0	-inf	-118.0			
0.0	0	8972	214.46103005149777	-inf	10.0	-inf	-118.0			
0.0	0	4879	183.6720480084738	-inf	10.0	-inf	-118.0			
0.0	0	8978	119.775508118168	-inf	10.0	-inf	-118.0			
0.0	0	791	54.539359794835455	-inf	10.0	-inf	-118.0			
0.0	0	8991	109.18753808949259	-inf	10.0	-inf	-118.0			
0.0	0	2863	190.2811719932609	-inf	10.0	-inf	-118.0			
0.0	0	9008	180.4777430182086	-inf	10.0	-inf	-118.0			
0.0	0	6963	195.16124038821167	-inf	10.0	-inf	-118.0			
0.0	0	9012	223.95616389874132	-inf	10.0	-inf	-118.0			
0.0	0	9022	226.2671354656801	-inf	10.0	-inf	-118.0			
0.0	0	4928	261.3587552667023	-inf	10.0	-inf	-118.0			
0.0	0	2889	220.8265624345306	-inf	10.0	-inf	-118.0			
0.0	0	9037	65.99586305226094	-inf	10.0	-inf	-118.0			
0.0	0	865	246.50521582589002	-inf	10.0	-inf	-118.0			
0.0	0	4964	181.53716884244966	-inf	10.0	-inf	-118.0			
0.0	0	7012	180.79853266640293	-inf	10.0	-inf	-118.0			
0.0	0	872	53.30826956455311	-inf	10.0	-inf	-118.0			
0.0	0	7019	232.56207107375667	-inf	10.0	-inf	-118.0			
0.0	0	2929	200.96818373923827	-inf	10.0	-inf	-118.0			
0.0	0	4983	114.73253540217927	-inf	10.0	-inf	-118.0			
0.0	0	4999	252.93624664880522	-inf	10.0	-inf	-118.0			
0.0	0	5001	83.87823798785331	-inf	10.0	-inf	-118.0			
0.0	0	5004	203.53321294474074	-inf	10.0	-inf	-118.0			
0.0	0	5006	207.6412422580044	-inf	10.0	-inf	-118.0			
0.0	0	9106	224.80307820832124	-inf	10.0	-inf	-118.0			
0.0	0	5014	237.0103132844573	-inf	10.0	-inf	-118.0			
0.0	0	9123	156.8704572113302	-inf	10.0	-inf	-118.0			
0.0	0	7077	129.93369604022817	-inf	10.0	-inf	-118.0			
0.0	0	5040	232.45690403139142	-inf	10.0	-inf	-118.0			
0.0	0	9139	158.17794759655564	-inf	10.0	-inf	-118.0			
0.0	0	953	169.4571163204475	-inf	10.0	-inf	-118.0			
0.0	0	9147	149.46422765610615	-inf	10.0	-inf	-118.0			
0.0	0	3004	219.7515747576156	-inf	10.0	-inf	-118.0			
0.0	0	5060	17.296847530831954	-inf	10.0	-inf	-118.0			
0.0	0	3019	97.02676003369739	-inf	10.0	-inf	-118.0			
0.0	0	974	211.76895246951048	-inf	10.0	-inf	-118.0			
0.0	0	5071	218.99367293415835	-inf	10.0	-inf	-118.0			
0.0	0	7128	251.20731196186216	-inf	10.0	-inf	-118.0			
0.0	0	5081	117.05392615059252	-inf	10.0	-inf	-118.0			
0.0	0	7130	198.99401388106875	-inf	10.0	-inf	-118.0			
0.0	0	7136	197.80504695559054	-inf	10.0	-inf	-118.0			
0.0	0	9192	107.20456881223772	-inf	10.0	-inf	-118.0			
0.0	0	5106	56.3821251946716	-inf	10.0	-inf	-118.0			
0.0	0	3065	17.024722569896753	-inf	10.0	-inf	-118.0			
0.0	0	7172	124.03015022985802	-inf	10.0	-inf	-118.0			
0.0	0	7174	245.43345935752558	-inf	10.0	-inf	-118.0			
0.0	0	7178	204.1470131548534	-inf	10.0	-inf	-118.0			
0.0	0	7180	261.5101533379679	-inf	10.0	-inf	-118.0			
0.0	0	5135	130.46754593284194	-inf	10.0	-inf	-118.0			
0.0	0	1042	203.60360515315173	-inf	10.0	-inf	-118.0			
0.0	0	1044	58.984247010459534	-inf	10.0	-inf	-118.0			
0.0	0	7193	99.29983324152587	-inf	10.0	-inf	-118.0			
0.0	0	9245	162.8318429509559	-inf	10.0	-inf	-118.0			
0.0	0	9253	163.57854930669262	-inf	10.0	-inf	-118.0			
0.0	0	5165	144.60493268992644	-inf	10.0	-inf	-118.0			
0.0	0	7215	38.64533380476956	-inf	10.0	-inf	-118.0			
0.0	0	3124	138.0672713564203	-inf	10.0	-inf	-118.0			
0.0	0	3145	114.9914358068343	-inf	10.0	-inf	-118.0			
0.0	0	5195	127.60792883762635	-inf	10.0	-inf	-118.0			
0.0	0	5196	138.47830510504446	-inf	10.0	-inf	-118.0			
0.0	0	3150	235.45236894646013	-inf	10.0	-inf	-118.0			
0.0	0	9294	128.42974817971378	-inf	10.0	-inf	-118.0			
