time	serving_cell_id	ue_id	distance_to_cell(m)	throughput(Mb/s)	sc_power(dBm)	rsrp(dBm)	sinr(dB)	cqi	mcs
0.0	2	10	237.89604491893328	-inf	10.0	-inf			
0.0	3	4	174.88439530810987	-inf	10.0	-inf			
0.0	4	5	210.6196045956311	-inf	10.0	-inf			
0.0	5	8	154.49603753591947	-inf	10.0	-inf			
0.0	5	2	99.33987388507143	-inf	10.0	-inf			
0.0	6	3	66.79085243970329	-inf	10.0	-inf			
0.0	8	6	216.36613352651182	-inf	10.0	-inf			
0.0	9	0	183.26367699428152	-inf	10.0	-inf			
0.0	9	7	168.28449466740233	-inf	10.0	-inf			
0.0	11	1	174.5320769561789	-inf	10.0	-inf			
0.0	11	9	181.75158754856793	-inf	10.0	-inf			
1.0	2	10	237.89604491893328	2.344	10.0	-81.20827014620775	-2.3156213440231777	0.0	0.0
1.0	3	4	174.88439530810987	4.902	10.0	-78.30737489924522	0.9179577020342627	2.0	3.0
1.0	4	5	210.6196045956311	3.066	10.0	-80.05743954548174	-1.5910267521169599	1.0	1.0
1.0	5	8	154.49603753591947	3.7009999999999996	10.0	-77.14681268224484	1.4118218453086515	3.0	5.0
1.0	5	2	99.33987388507143	6.631	10.0	-73.07820862423772	5.844529423626161	5.0	9.0
1.0	6	3	66.79085243970329	21.602	10.0	-69.58269099797185	11.76115970496953	8.0	14.0
1.0	8	6	216.36613352651182	3.066	10.0	-80.31155055260095	-1.7818669639574691	1.0	1.0
1.0	9	0	183.26367699428152	2.451	10.0	-78.7469552550188	-0.509332487602507	2.0	3.0
1.0	9	7	168.28449466740233	2.451	10.0	-77.94659339906843	0.3992022944131299	2.0	3.0
1.0	11	1	174.5320769561789	3.7009999999999996	10.0	-78.28844965076021	1.4413563829101212	3.0	5.0
1.0	11	9	181.75158754856793	2.451	10.0	-78.66908630054672	0.7673707744254148	2.0	3.0
