time	serving_cell_id	ue_id	distance_to_cell(m)	throughput(Mb/s)	sc_power(dBm)	rsrp(dBm)	sinr(dB)	cqi	mcs
0.0	2	10	237.89604491893328	-inf	30.0	-inf			
0.0	3	4	174.88439530810987	-inf	30.0	-inf			
0.0	4	5	210.6196045956311	-inf	30.0	-inf			
0.0	5	8	154.49603753591947	-inf	30.0	-inf			
0.0	5	2	99.33987388507143	-inf	30.0	-inf			
0.0	6	3	66.79085243970329	-inf	30.0	-inf			
0.0	8	6	216.36613352651182	-inf	30.0	-inf			
0.0	9	0	183.26367699428152	-inf	30.0	-inf			
0.0	9	7	168.28449466740233	-inf	30.0	-inf			
0.0	11	1	174.5320769561789	-inf	30.0	-inf			
0.0	11	9	181.75158754856793	-inf	30.0	-inf			
1.0	2	10	237.89604491893328	2.344	30.0	-61.20827014620775	-2.315618012179989	0.0	0.0
1.0	3	4	174.88439530810987	4.902	30.0	-58.30737489924522	0.9179612991378578	2.0	3.0
1.0	4	5	210.6196045956311	3.066	30.0	-60.05743954548174	-1.591023731741477	1.0	1.0
1.0	5	8	154.49603753591947	3.7009999999999996	30.0	-57.14681268224484	1.4118249305071586	3.0	5.0
1.0	5	2	99.33987388507143	6.631	30.0	-53.07820862423772	5.84453277863353	5.0	9.0
1.0	6	3	66.79085243970329	21.602	30.0	-49.58269099797185	11.761165563718217	8.0	14.0
1.0	8	6	216.36613352651182	3.066	30.0	-60.31155055260095	-1.7818638992571179	1.0	1.0
1.0	9	0	183.26367699428152	2.451	30.0	-58.746955255018804	-0.5093296222244815	2.0	3.0
1.0	9	7	168.28449466740233	2.451	30.0	-57.94659339906843	0.3992052320575243	2.0	3.0
1.0	11	1	174.5320769561789	3.7009999999999996	30.0	-58.288449650760214	1.4413604230863721	3.0	5.0
1.0	11	9	181.75158754856793	2.451	30.0	-58.669086300546724	0.767374550715969	2.0	3.0
