seed	time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	cell_dBm	n_UEs	tp_agg_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
0	1	0	[-500.   -866.03   20.  ]	10	1	0	44	23	1.03617e+07	450509	479258	21.6203	0.34539	1.03617e+07	450509	479258	21.6203	0.034539
0	1	1	[   0.   -866.03   20.  ]	10	1	0	44	62	8.56852e+06	138202	479258	17.8787	0.285617	1.89302e+07	588710	958517	39.499	0.0320156
0	1	2	[ 500.   -866.03   20.  ]	10	1	0	44	31	9.89529e+06	319203	479258	20.6471	0.329843	2.88255e+07	907913	1.43778e+06	60.1461	0.0361859
0	1	3	[-750.   -433.01   20.  ]	10	1	0	44	59	9.98347e+06	169211	479258	20.8311	0.332782	3.8809e+07	1.07712e+06	1.91703e+06	80.9771	0.0368968
0	1	4	[-250.   -433.01   20.  ]	10	1	0	44	72	7.21297e+06	100180	479258	15.0503	0.240432	4.60219e+07	1.1773e+06	2.39629e+06	96.0274	0.0277329
0	1	5	[ 250.   -433.01   20.  ]	10	1	0	44	89	8.22349e+06	92398.8	479258	17.1588	0.274116	5.42454e+07	1.2697e+06	2.87555e+06	113.186	0.0301849
0	1	6	[ 750.   -433.01   20.  ]	10	1	0	44	49	1.00677e+07	205462	479258	21.0067	0.335588	6.43131e+07	1.47517e+06	3.35481e+06	134.193	0.0365773
0	1	7	[-1000.     0.    20.]	10	1	0	44	18	7.28833e+06	404907	479258	15.2075	0.242944	7.16014e+07	1.88007e+06	3.83407e+06	149.4	0.0279522
0	1	8	[-500.    0.   20.]	10	1	0	44	81	7.38069e+06	91119.6	479258	15.4002	0.246023	7.89821e+07	1.97119e+06	4.31333e+06	164.801	0.0273975
0	1	9	[ 0.  0. 20.]	10	1	0	44	85	6.92668e+06	81490.4	479258	14.4529	0.230889	8.59088e+07	2.05268e+06	4.79258e+06	179.254	0.0258287
0	1	10	[500.   0.  20.]	10	1	0	44	60	6.73598e+06	112266	479258	14.055	0.224533	9.26448e+07	2.16495e+06	5.27184e+06	193.309	0.0250361
0	1	11	[1000.    0.   20.]	10	1	0	44	44	1.02574e+07	233123	479258	21.4027	0.341914	1.02902e+08	2.39807e+06	5.7511e+06	214.711	0.036695
0	1	12	[-750.    433.01   20.  ]	10	1	0	44	58	1.0466e+07	180449	479258	21.838	0.348868	1.13368e+08	2.57852e+06	6.23036e+06	236.549	0.0385563
0	1	13	[-250.    433.01   20.  ]	10	1	0	44	67	7.03e+06	104925	479258	14.6685	0.234333	1.20398e+08	2.68345e+06	6.70962e+06	251.218	0.027289
0	1	14	[250.   433.01  20.  ]	10	1	0	44	71	8.3233e+06	117230	479258	17.367	0.277443	1.28722e+08	2.80068e+06	7.18888e+06	268.585	0.0304732
0	1	15	[750.   433.01  20.  ]	10	1	0	44	44	1.17215e+07	266397	479258	24.4575	0.390716	1.40443e+08	3.06707e+06	7.66813e+06	293.042	0.0421189
0	1	16	[-500.    866.03   20.  ]	10	1	0	44	26	1.02766e+07	395253	479258	21.4427	0.342553	1.5072e+08	3.46233e+06	8.14739e+06	314.485	0.0384671
0	1	17	[  0.   866.03  20.  ]	10	1	0	44	44	1.03139e+07	234407	479258	21.5206	0.343797	1.61033e+08	3.69673e+06	8.62665e+06	336.006	0.0382264
0	1	18	[500.   866.03  20.  ]	10	1	0	44	29	8.62459e+06	297400	479258	17.9957	0.287486	1.69658e+08	3.99413e+06	9.10591e+06	354.001	0.0325713
0	2	0	[-500.   -866.03   20.  ]	10	1	0	39	23	1.03617e+07	450509	151989	68.174	0.34539	1.8002e+08	4.44464e+06	9.2579e+06	422.175	0.0377961
0	2	1	[   0.   -866.03   20.  ]	10	1	0	39	62	8.56852e+06	138202	151989	56.3759	0.285617	1.88588e+08	4.58284e+06	9.40989e+06	478.551	0.0323413
0	2	2	[ 500.   -866.03   20.  ]	10	1	0	39	31	9.89529e+06	319203	151989	65.1053	0.329843	1.98484e+08	4.90205e+06	9.56188e+06	543.656	0.0362184
0	2	3	[-750.   -433.01   20.  ]	10	1	0	39	59	9.98347e+06	169211	151989	65.6855	0.332782	2.08467e+08	5.07126e+06	9.71387e+06	609.342	0.0369001
0	2	4	[-250.   -433.01   20.  ]	10	1	0	39	72	7.21297e+06	100180	151989	47.4572	0.240432	2.1568e+08	5.17144e+06	9.86585e+06	656.799	0.0277332
0	2	5	[ 250.   -433.01   20.  ]	10	1	0	39	89	8.22349e+06	92398.8	151989	54.1059	0.274116	2.23904e+08	5.26384e+06	1.00178e+07	710.905	0.030185
0	2	6	[ 750.   -433.01   20.  ]	10	1	0	39	49	1.00677e+07	205462	151989	66.2394	0.335588	2.33971e+08	5.4693e+06	1.01698e+07	777.144	0.0365773
0	2	7	[-1000.     0.    20.]	10	1	0	39	18	7.28833e+06	404907	151989	47.953	0.242944	2.4126e+08	5.87421e+06	1.03218e+07	825.098	0.0279522
0	2	8	[-500.    0.   20.]	10	1	0	39	81	7.38069e+06	91119.6	151989	48.5607	0.246023	2.4864e+08	5.96533e+06	1.04738e+07	873.658	0.0273975
0	2	9	[ 0.  0. 20.]	10	1	0	39	85	6.92668e+06	81490.4	151989	45.5736	0.230889	2.55567e+08	6.04682e+06	1.06258e+07	919.232	0.0258287
0	2	10	[500.   0.  20.]	10	1	0	39	60	6.73598e+06	112266	151989	44.3189	0.224533	2.62303e+08	6.15908e+06	1.07778e+07	963.551	0.0250361
0	2	11	[1000.    0.   20.]	10	1	0	39	44	1.02574e+07	233123	151989	67.4879	0.341914	2.7256e+08	6.39221e+06	1.09298e+07	1031.04	0.036695
0	2	12	[-750.    433.01   20.  ]	10	1	0	39	58	1.0466e+07	180449	151989	68.8605	0.348868	2.83026e+08	6.57265e+06	1.10818e+07	1099.9	0.0385563
0	2	13	[-250.    433.01   20.  ]	10	1	0	39	67	7.03e+06	104925	151989	46.2534	0.234333	2.90056e+08	6.67758e+06	1.12338e+07	1146.15	0.027289
0	2	14	[250.   433.01  20.  ]	10	1	0	39	71	8.3233e+06	117230	151989	54.7625	0.277443	2.9838e+08	6.79481e+06	1.13857e+07	1200.91	0.0304732
0	2	15	[750.   433.01  20.  ]	10	1	0	39	44	1.17215e+07	266397	151989	77.1206	0.390716	3.10101e+08	7.06121e+06	1.15377e+07	1278.04	0.0421189
0	2	16	[-500.    866.03   20.  ]	10	1	0	39	26	1.02766e+07	395253	151989	67.614	0.342553	3.20378e+08	7.45646e+06	1.16897e+07	1345.65	0.0384671
0	2	17	[  0.   866.03  20.  ]	10	1	0	39	44	1.03139e+07	234407	151989	67.8596	0.343797	3.30692e+08	7.69087e+06	1.18417e+07	1413.51	0.0382264
0	2	18	[500.   866.03  20.  ]	10	1	0	39	29	8.62459e+06	297400	151989	56.7448	0.287486	3.39316e+08	7.98827e+06	1.19937e+07	1470.25	0.0325713
0	3	0	[-500.   -866.03   20.  ]	10	1	0	34	23	1.03617e+07	450509	48497.3	213.655	0.34539	3.49678e+08	8.43878e+06	1.20422e+07	1683.91	0.0377961
0	3	1	[   0.   -866.03   20.  ]	10	1	0	34	62	8.56852e+06	138202	48497.3	176.68	0.285617	3.58246e+08	8.57698e+06	1.20907e+07	1860.59	0.0323413
0	3	2	[ 500.   -866.03   20.  ]	10	1	0	34	31	9.89529e+06	319203	48497.3	204.038	0.329843	3.68142e+08	8.89618e+06	1.21392e+07	2064.63	0.0362184
0	3	3	[-750.   -433.01   20.  ]	10	1	0	34	59	9.98347e+06	169211	48497.3	205.856	0.332782	3.78125e+08	9.06539e+06	1.21877e+07	2270.48	0.0369001
0	3	4	[-250.   -433.01   20.  ]	10	1	0	34	72	7.21297e+06	100180	48497.3	148.729	0.240432	3.85338e+08	9.16557e+06	1.22362e+07	2419.21	0.0277332
0	3	5	[ 250.   -433.01   20.  ]	10	1	0	34	89	8.22349e+06	92398.8	48497.3	169.566	0.274116	3.93562e+08	9.25797e+06	1.22847e+07	2588.78	0.030185
0	3	6	[ 750.   -433.01   20.  ]	10	1	0	34	49	1.00677e+07	205462	48497.3	207.592	0.335588	4.03629e+08	9.46343e+06	1.23332e+07	2796.37	0.0365773
0	3	7	[-1000.     0.    20.]	10	1	0	34	18	7.28833e+06	404907	48497.3	150.283	0.242944	4.10918e+08	9.86834e+06	1.23817e+07	2946.66	0.0279522
0	3	8	[-500.    0.   20.]	10	1	0	34	81	7.38069e+06	91119.6	48497.3	152.188	0.246023	4.18298e+08	9.95946e+06	1.24302e+07	3098.84	0.0273975
0	3	9	[ 0.  0. 20.]	10	1	0	34	85	6.92668e+06	81490.4	48497.3	142.826	0.230889	4.25225e+08	1.00409e+07	1.24787e+07	3241.67	0.0258287
0	3	10	[500.   0.  20.]	10	1	0	34	60	6.73598e+06	112266	48497.3	138.894	0.224533	4.31961e+08	1.01532e+07	1.25272e+07	3380.56	0.0250361
